DateYYYYMM;DaysInMonth;TotalPosts;RemainingPosts;AnsweredRate;FlairsWhoAnswered;FlairAnsweredQuestions;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay;Over1TotalPosts;Over1RemainingPosts;Over1AnsweredRate;Over1FlairsWhoAnswered;Over1FlairAnsweredQuestions;Over1AvgFlairsWhoAnsweredPerDay;Over1AvgFlairAnswersPerDay;Over10TotalPosts;Over10RemainingPosts;Over10AnsweredRate;Over10FlairsWhoAnswered;Over10FlairAnsweredQuestions;Over10AvgFlairsWhoAnsweredPerDay;Over10AvgFlairAnswersPerDay;Over20TotalPosts;Over20RemainingPosts;Over20AnsweredRate;Over20FlairsWhoAnswered;Over20FlairAnsweredQuestions;Over20AvgFlairsWhoAnsweredPerDay;Over20AvgFlairAnswersPerDay;Over100TotalPosts;Over100RemainingPosts;Over100AnsweredRate;Over100FlairsWhoAnswered;Over100FlairAnsweredQuestions;Over100AvgFlairsWhoAnsweredPerDay;Over100AvgFlairAnswersPerDay;Over1000TotalPosts;Over1000RemainingPosts;Over1000AnsweredRate;Over1000FlairsWhoAnswered;Over1000FlairAnsweredQuestions;Over1000AvgFlairsWhoAnsweredPerDay;Over1000AvgFlairAnswersPerDay
2017/01;31;5634;3913;42.7;146;834;4.7;26.9;3641;3051;48.21;142;732;4.58;23.61;1269;1127;67.34;121;365;3.9;11.77;840;746;74.39;111;253;3.58;8.16;280;255;90.58;80;108;2.58;3.48;45;43;100;30;29;0.96;0.93
2017/02;28;4833;3366;39.51;138;668;4.92;23.85;3133;2602;43.58;135;580;4.82;20.71;1103;986;60.75;120;311;4.28;11.1;700;636;70.28;112;237;4;8.46;233;219;89.49;81;110;2.89;3.92;42;39;100;19;23;0.67;0.82
2017/03;31;5048;3650;41.01;147;787;4.74;25.38;3325;2811;45.74;145;675;4.67;21.77;1187;1058;63.98;127;344;4.09;11.09;768;691;72.21;114;246;3.67;7.93;235;226;87.16;71;94;2.29;3.03;46;43;100;31;27;1;0.87
2017/04;30;5413;3856;42.16;165;840;5.5;28;3690;3124;46.31;162;741;5.4;24.7;1300;1151;64.37;143;381;4.76;12.7;801;711;71.44;130;260;4.33;8.66;238;217;84.79;86;102;2.86;3.4;49;44;97.72;34;26;1.13;0.86
2017/05;31;5280;3732;42.55;160;824;5.16;26.58;3849;3233;45.15;159;763;5.12;24.61;1433;1269;60.67;139;380;4.48;12.25;839;753;68.26;125;245;4.03;7.9;230;212;83.01;77;88;2.48;2.83;48;44;95.45;37;24;1.19;0.77
2017/06;30;4694;3425;43.73;146;777;4.86;25.9;3479;2944;46.8;145;715;4.83;23.83;1298;1178;61.88;127;365;4.23;12.16;740;672;71.57;113;239;3.76;7.96;210;196;87.75;73;93;2.43;3.1;46;46;100;38;30;1.26;1
2017/07;31;5138;3738;47.59;183;1023;5.9;33;3747;3178;50.25;180;922;5.8;29.74;1365;1239;66.42;150;466;4.83;15.03;788;726;74.1;124;290;4;9.35;246;228;88.15;77;106;2.48;3.41;50;47;100;31;28;1;0.9
2017/08;31;5491;3826;44.48;176;980;5.67;31.61;3775;3166;46.8;175;852;5.64;27.48;1344;1208;64.65;150;429;4.83;13.83;833;754;70.29;135;294;4.35;9.48;229;208;82.69;83;102;2.67;3.29;50;46;100;39;32;1.25;1.03
2017/09;30;5046;3577;41.73;171;893;5.7;29.76;3485;2949;44.69;170;793;5.66;26.43;1282;1174;62.86;147;416;4.9;13.86;785;727;70.15;133;275;4.43;9.16;225;218;84.4;92;106;3.06;3.53;50;49;100;44;37;1.46;1.23
2017/10;31;5616;3966;39.66;160;866;5.16;27.93;3816;3249;42.93;155;770;5;24.83;1461;1318;58.8;134;395;4.32;12.74;906;830;67.71;114;278;3.67;8.96;301;282;83.33;67;110;2.16;3.54;56;56;98.21;29;39;0.93;1.25
2017/11;30;5088;3579;38.75;155;832;5.16;27.73;3319;2843;42.56;148;725;4.93;24.16;1199;1088;59.09;125;365;4.16;12.16;752;689;63.13;108;247;3.6;8.23;227;215;81.39;72;104;2.4;3.46;48;47;100;26;28;0.86;0.93
2017/12;31;4852;3336;40.55;165;731;5.32;23.58;3280;2747;43.64;160;642;5.16;20.7;1273;1154;57.62;133;351;4.29;11.32;818;749;63.81;118;246;3.8;7.93;265;236;82.62;78;95;2.51;3.06;45;43;100;31;32;1;1.03
2018/01;31;5159;3717;38.68;162;856;5.22;27.61;3692;3163;41.44;160;782;5.16;25.22;1298;1187;56.52;141;396;4.54;12.77;793;728;63.59;116;271;3.74;8.74;215;197;85.27;83;111;2.67;3.58;41;39;100;33;32;1.06;1.03
