DateYYYYMM;DaysInMonth;TotalPosts;RemovedPosts;RemainingQuestions;RemainingSpecial;AnsweredRate;IgnoredRate;EmptyRate;AnsweredQuestions;Flairs;FlairsWhoAnswered;FlairAnsweredQuestions;AvgAnswersPerDay;AvgFlairsPerDay;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay
2017/01;31;280;15;255;10;90.58;1.56;7.84;231;117;80;108;7.45;3.77;2.58;3.48
2017/02;28;233;11;219;3;89.49;1.82;8.67;196;132;81;110;7;4.71;2.89;3.92
2017/03;31;235;5;226;4;87.16;4.42;8.4;197;123;71;94;6.35;3.96;2.29;3.03
2017/04;30;238;12;217;9;84.79;2.3;12.9;184;136;86;102;6.13;4.53;2.86;3.4
2017/05;31;230;13;212;5;83.01;3.3;13.67;176;124;77;88;5.67;4;2.48;2.83
2017/06;30;210;7;196;7;87.75;3.06;9.18;172;143;73;93;5.73;4.76;2.43;3.1
2017/07;31;246;12;228;5;88.15;1.75;10.08;201;122;77;106;6.48;3.93;2.48;3.41
2017/08;31;229;14;208;7;82.69;2.88;14.42;172;129;83;102;5.54;4.16;2.67;3.29
2017/09;30;225;6;218;1;84.4;2.75;12.84;184;119;92;106;6.13;3.96;3.06;3.53
2017/10;31;301;11;282;8;83.33;2.83;13.82;235;118;67;110;7.58;3.8;2.16;3.54
2017/11;30;227;8;215;4;81.39;4.18;14.41;175;113;72;104;5.83;3.76;2.4;3.46
2017/12;31;265;17;236;12;82.62;5.5;11.86;195;147;78;95;6.29;4.74;2.51;3.06
2018/01;31;215;12;197;6;85.27;3.04;11.67;168;130;83;111;5.41;4.19;2.67;3.58
2018/02;28;240;9;229;2;85.58;1.31;13.1;196;124;81;112;7;4.42;2.89;4
2018/03;31;279;5;271;3;77.85;5.53;16.6;211;113;86;114;6.8;3.64;2.77;3.67
2018/04;30;293;17;273;3;76.55;2.19;21.24;209;108;70;114;6.96;3.6;2.33;3.8
2018/05;31;269;9;255;5;79.21;3.13;17.64;202;122;77;95;6.51;3.93;2.48;3.06
2018/06;30;246;4;237;5;76.37;2.1;21.51;181;118;74;94;6.03;3.93;2.46;3.13
2018/07;31;253;13;236;4;72.88;4.23;22.88;172;120;75;85;5.54;3.87;2.41;2.74
2018/08;31;244;17;220;7;78.63;0.9;20.45;173;118;68;80;5.58;3.8;2.19;2.58
2018/09;30;272;6;260;6;80.38;1.53;18.07;209;115;71;98;6.96;3.83;2.36;3.26
2018/10;31;235;6;225;4;77.77;2.22;20;175;113;66;83;5.64;3.64;2.12;2.67
2018/11;30;219;6;212;1;74.52;1.88;23.58;158;103;71;90;5.26;3.43;2.36;3
2018/12;31;267;8;249;10;77.51;1.6;20.88;193;116;69;99;6.22;3.74;2.22;3.19
2019/01;31;257;11;244;2;74.59;6.14;19.26;182;117;67;87;5.87;3.77;2.16;2.8
2019/02;28;223;4;217;2;75.11;2.76;22.11;163;105;58;78;5.82;3.75;2.07;2.78
2019/03;31;224;4;214;6;80.37;2.33;17.28;172;107;68;96;5.54;3.45;2.19;3.09
2019/04;30;208;9;196;3;76.53;2.55;20.91;150;88;52;71;5;2.93;1.73;2.36
2019/05;31;220;15;201;4;68.15;2.48;29.35;137;110;56;68;4.41;3.54;1.8;2.19
2019/06;30;164;9;154;1;80.51;1.29;18.18;124;85;53;62;4.13;2.83;1.76;2.06
2019/07;31;200;8;187;5;80.74;3.2;16.04;151;113;66;85;4.87;3.64;2.12;2.74
2019/08;31;175;7;163;5;73;2.45;24.53;119;100;72;73;3.83;3.22;2.32;2.35
2019/09;30;164;7;152;5;77.63;3.28;19.07;118;100;56;58;3.93;3.33;1.86;1.93
2019/10;31;166;6;152;8;75;1.97;23.02;114;110;53;61;3.67;3.54;1.7;1.96
2019/11;30;182;8;169;5;81.06;3.55;15.38;137;114;63;76;4.56;3.8;2.1;2.53
2019/12;31;179;6;166;7;73.49;3.01;23.49;122;103;60;80;3.93;3.32;1.93;2.58
2020/01;31;176;3;171;2;73.09;2.33;24.56;125;115;74;81;4.03;3.7;2.38;2.61
2020/02;29;158;9;146;3;80.13;2.05;17.8;117;98;52;67;4.03;3.37;1.79;2.31
2020/03;31;177;7;162;8;75.92;1.85;22.22;123;112;61;80;3.96;3.61;1.96;2.58
2020/04;30;204;5;163;36;77.91;2.45;19.63;127;181;80;77;4.23;6.03;2.66;2.56
2020/05;31;199;6;186;7;79.56;2.68;17.74;148;132;76;84;4.77;4.25;2.45;2.7
