DateYYYYMM,DaysInMonth,TotalPosts,RemovedPosts,RemainingQuestions,RemainingSpecial,AnsweredRate,IgnoredRate,EmptyRate,AnsweredQuestions,Flairs,FlairsWhoAnswered,FlairAnsweredQuestions,AvgAnswersPerDay,AvgFlairsPerDay,AvgFlairsWhoAnsweredPerDay,AvgFlairAnswersPerDay
2017/01,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/02,28,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/05,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/06,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/07,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/08,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/09,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/10,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/11,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/12,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/01,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/02,28,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/05,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/06,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/07,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/08,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/09,30,2,0,2,0,0,100,0,0,1,0,0,0,0.03,0,0
2018/10,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/11,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/12,31,1,0,1,0,0,0,100,0,0,0,0,0,0,0,0
2019/01,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/02,28,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/05,31,2,1,1,0,0,100,0,0,1,0,0,0,0.03,0,0
2019/06,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/07,31,1,1,0,0,NaN,NaN,NaN,0,1,0,0,0,0.03,0,0
2019/08,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/09,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/10,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2019/11,30,1,1,0,0,NaN,NaN,NaN,0,2,0,0,0,0.06,0,0
2019/12,31,1,0,1,0,0,100,0,0,1,0,0,0,0.03,0,0
2020/01,31,1,0,1,0,0,0,100,0,1,0,0,0,0.03,0,0
2020/02,29,1,0,1,0,0,100,0,0,1,0,0,0,0.03,0,0
2020/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2020/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2020/05,31,1,1,0,0,NaN,NaN,NaN,0,1,0,0,0,0.03,0,0
2020/06,30,1,1,0,0,NaN,NaN,NaN,0,1,0,0,0,0.03,0,0
2020/07,31,1,0,1,0,100,0,0,1,1,0,0,0.03,0.03,0,0
2020/08,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2020/09,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2020/10,31,2,0,2,0,0,100,0,0,1,0,0,0,0.03,0,0
2020/11,30,1,0,1,0,0,100,0,0,1,0,0,0,0.03,0,0
2020/12,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2021/01,31,1,0,1,0,0,100,0,0,1,0,0,0,0.03,0,0
2021/02,28,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2021/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2021/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
