DateYYYYMM;DaysInMonth;TotalPosts;RemovedPosts;RemainingQuestions;RemainingSpecial;AnsweredRate;IgnoredRate;EmptyRate;AnsweredQuestions;Flairs;FlairsWhoAnswered;FlairAnsweredQuestions;AvgAnswersPerDay;AvgFlairsPerDay;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay
2017/01;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/02;28;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/03;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/04;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/05;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/06;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/07;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/08;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/09;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/10;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/11;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/12;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/01;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/02;28;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/03;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/04;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/05;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/06;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/07;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/08;31;8;0;8;0;12.5;75;12.5;1;1;0;0;0.03;0.03;0;0
2018/09;30;5;0;5;0;40;40;20;2;2;2;1;0.06;0.06;0.06;0.03
2018/10;31;7;0;7;0;14.28;71.42;14.28;1;2;0;0;0.03;0.06;0;0
2018/11;30;8;1;7;0;0;85.71;14.28;0;1;1;0;0;0.03;0.03;0
2018/12;31;7;2;5;0;40;20;40;2;2;1;1;0.06;0.06;0.03;0.03
2019/01;31;3;1;2;0;50;0;50;1;1;0;0;0.03;0.03;0;0
2019/02;28;3;0;3;0;0;100;0;0;0;0;0;0;0;0;0
2019/03;31;6;0;6;0;16.66;50;33.33;1;0;0;0;0.03;0;0;0
2019/04;30;3;0;3;0;0;100;0;0;1;0;0;0;0.03;0;0
2019/05;31;5;1;4;0;25;50;25;1;2;1;1;0.03;0.06;0.03;0.03
2019/06;30;7;0;7;0;28.57;71.42;0;2;5;2;2;0.06;0.16;0.06;0.06
2019/07;31;12;0;12;0;16.66;75;8.33;2;6;2;1;0.06;0.19;0.06;0.03
2019/08;31;8;1;7;0;42.85;42.85;14.28;3;4;2;2;0.09;0.12;0.06;0.06
2019/09;30;8;0;8;0;12.5;75;12.5;1;1;0;0;0.03;0.03;0;0
2019/10;31;9;0;9;0;22.22;66.66;11.11;2;3;1;1;0.06;0.09;0.03;0.03
2019/11;30;8;0;8;0;37.5;50;12.5;3;6;3;3;0.1;0.2;0.1;0.1
2019/12;31;6;0;6;0;16.66;66.66;16.66;1;6;1;1;0.03;0.19;0.03;0.03
2020/01;31;4;0;4;0;25;50;25;1;2;1;1;0.03;0.06;0.03;0.03
2020/02;29;1;0;1;0;0;100;0;0;1;0;0;0;0.03;0;0
2020/03;31;9;2;7;0;28.57;71.42;0;2;8;2;1;0.06;0.25;0.06;0.03
2020/04;30;7;0;7;0;28.57;71.42;0;2;3;1;1;0.06;0.1;0.03;0.03
2020/05;31;10;0;10;0;40;50;10;4;7;4;2;0.12;0.22;0.12;0.06
2020/06;30;9;1;8;0;37.5;62.5;0;3;7;2;3;0.1;0.23;0.06;0.1
2020/07;31;4;1;3;0;33.33;66.66;0;1;2;1;1;0.03;0.06;0.03;0.03
2020/08;31;1;0;1;0;0;100;0;0;1;0;0;0;0.03;0;0
2020/09;30;1;0;1;0;0;100;0;0;1;0;0;0;0.03;0;0
2020/10;31;10;0;10;0;30;70;0;3;8;2;2;0.09;0.25;0.06;0.06
2020/11;30;9;0;9;0;44.44;55.55;0;4;5;3;2;0.13;0.16;0.1;0.06
2020/12;31;5;1;4;0;0;100;0;0;2;0;0;0;0.06;0;0
2021/01;31;4;0;4;0;25;50;25;1;4;1;1;0.03;0.12;0.03;0.03
