DateYYYYMM;DaysInMonth;TotalPosts;RemovedPosts;RemainingQuestions;RemainingSpecial;AnsweredRate;IgnoredRate;EmptyRate;AnsweredQuestions;Flairs;FlairsWhoAnswered;FlairAnsweredQuestions;AvgAnswersPerDay;AvgFlairsPerDay;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay
2017/01;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/02;28;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/03;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/04;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/05;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/06;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/07;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/08;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/09;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/10;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/11;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2017/12;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/01;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/02;28;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/03;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/04;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/05;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/06;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/07;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2018/08;31;8;0;8;0;87.5;0;12.5;7;13;4;4;0.22;0.41;0.12;0.12
2018/09;30;2;0;2;0;100;0;0;2;3;0;0;0.06;0.1;0;0
2018/10;31;6;0;6;0;100;0;0;6;15;4;3;0.19;0.48;0.12;0.09
2018/11;30;5;0;5;0;100;0;0;5;14;9;4;0.16;0.46;0.3;0.13
2018/12;31;2;0;2;0;100;0;0;2;7;2;1;0.06;0.22;0.06;0.03
2019/01;31;3;0;3;0;100;0;0;3;9;3;2;0.09;0.29;0.09;0.06
2019/02;28;1;0;1;0;100;0;0;1;3;2;1;0.03;0.1;0.07;0.03
2019/03;31;4;0;4;0;100;0;0;4;13;5;4;0.12;0.41;0.16;0.12
2019/04;30;2;0;2;0;100;0;0;2;3;1;1;0.06;0.1;0.03;0.03
2019/05;31;1;0;1;0;100;0;0;1;6;1;1;0.03;0.19;0.03;0.03
2019/06;30;4;0;4;0;100;0;0;4;6;3;2;0.13;0.2;0.1;0.06
2019/07;31;6;0;6;0;83.33;0;16.66;5;17;6;3;0.16;0.54;0.19;0.09
2019/08;31;6;0;6;0;100;0;0;6;19;9;5;0.19;0.61;0.29;0.16
2019/09;30;3;0;3;0;100;0;0;3;6;0;0;0.1;0.2;0;0
2019/10;31;4;0;4;0;100;0;0;4;8;2;1;0.12;0.25;0.06;0.03
2019/11;30;4;0;4;0;100;0;0;4;8;2;3;0.13;0.26;0.06;0.1
2019/12;31;3;0;3;0;100;0;0;3;7;4;3;0.09;0.22;0.12;0.09
2020/01;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2020/02;29;2;0;2;0;100;0;0;2;12;4;2;0.06;0.41;0.13;0.06
2020/03;31;1;0;1;0;100;0;0;1;5;1;1;0.03;0.16;0.03;0.03
2020/04;30;1;0;1;0;100;0;0;1;3;0;0;0.03;0.1;0;0
2020/05;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2020/06;30;3;0;3;0;100;0;0;3;12;3;3;0.1;0.4;0.1;0.1
2020/07;31;5;0;5;0;100;0;0;5;15;5;3;0.16;0.48;0.16;0.09
2020/08;31;4;0;4;0;100;0;0;4;13;5;4;0.12;0.41;0.16;0.12
2020/09;30;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
2020/10;31;3;0;3;0;100;0;0;3;9;3;1;0.09;0.29;0.09;0.03
2020/11;30;4;0;4;0;100;0;0;4;9;4;3;0.13;0.3;0.13;0.1
2020/12;31;4;0;4;0;100;0;0;4;15;6;4;0.12;0.48;0.19;0.12
2021/01;31;0;0;0;0;NaN;NaN;NaN;0;0;0;0;0;0;0;0
