DateYYYYMM,DaysInMonth,TotalPosts,RemovedPosts,RemainingQuestions,RemainingSpecial,AnsweredRate,IgnoredRate,EmptyRate,AnsweredQuestions,Flairs,FlairsWhoAnswered,FlairAnsweredQuestions,AvgAnswersPerDay,AvgFlairsPerDay,AvgFlairsWhoAnsweredPerDay,AvgFlairAnswersPerDay
2017/01,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/02,28,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/05,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/06,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/07,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/08,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/09,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/10,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/11,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2017/12,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/01,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/02,28,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/03,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/04,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/05,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/06,30,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/07,31,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0
2018/08,31,29,0,29,0,51.72,34.48,13.79,15,17,10,11,0.48,0.54,0.32,0.35
2018/09,30,30,0,30,0,46.66,40,13.33,14,12,10,7,0.46,0.4,0.33,0.23
2018/10,31,27,0,27,0,40.74,25.92,33.33,11,19,9,6,0.35,0.61,0.29,0.19
2018/11,30,22,1,21,0,19.04,42.85,38.09,4,13,5,4,0.13,0.43,0.16,0.13
2018/12,31,25,0,25,0,60,32,8,15,14,11,8,0.48,0.45,0.35,0.25
2019/01,31,14,0,14,0,57.14,35.71,7.14,8,10,5,5,0.25,0.32,0.16,0.16
2019/02,28,21,2,19,0,36.84,52.63,10.52,7,15,8,5,0.25,0.53,0.28,0.17
2019/03,31,20,0,20,0,30,35,35,6,11,7,4,0.19,0.35,0.22,0.12
2019/04,30,16,1,15,0,33.33,46.66,20,5,8,4,4,0.16,0.26,0.13,0.13
2019/05,31,26,1,25,0,32,48,20,8,15,7,5,0.25,0.48,0.22,0.16
2019/06,30,20,1,19,0,36.84,31.57,31.57,7,9,5,4,0.23,0.3,0.16,0.13
2019/07,31,27,1,26,0,38.46,46.15,15.38,10,19,11,7,0.32,0.61,0.35,0.22
2019/08,31,29,0,29,0,62.06,31.03,6.89,18,24,11,9,0.58,0.77,0.35,0.29
2019/09,30,27,1,26,0,46.15,34.61,19.23,12,20,9,10,0.4,0.66,0.3,0.33
2019/10,31,20,0,20,0,45,45,10,9,12,7,3,0.29,0.38,0.22,0.09
2019/11,30,16,0,16,0,18.75,56.25,25,3,9,3,3,0.1,0.3,0.1,0.1
2019/12,31,27,3,24,0,54.16,37.5,8.33,13,20,8,9,0.41,0.64,0.25,0.29
2020/01,31,25,1,24,0,37.5,41.66,20.83,9,13,5,5,0.29,0.41,0.16,0.16
2020/02,29,27,0,27,0,37.03,37.03,25.92,10,16,5,4,0.34,0.55,0.17,0.13
2020/03,31,22,1,21,0,61.9,28.57,9.52,13,19,10,9,0.41,0.61,0.32,0.29
2020/04,30,19,1,18,0,50,16.66,33.33,9,12,5,5,0.3,0.4,0.16,0.16
2020/05,31,19,0,19,0,42.1,42.1,15.78,8,11,5,6,0.25,0.35,0.16,0.19
2020/06,30,16,0,16,0,25,43.75,31.25,4,14,5,4,0.13,0.46,0.16,0.13
2020/07,31,18,0,18,0,27.77,38.88,33.33,5,12,3,2,0.16,0.38,0.09,0.06
2020/08,31,18,0,18,0,38.88,33.33,27.77,7,11,5,6,0.22,0.35,0.16,0.19
2020/09,30,9,0,9,0,55.55,22.22,22.22,5,9,4,3,0.16,0.3,0.13,0.1
2020/10,31,27,1,26,0,65.38,23.07,11.53,17,16,13,14,0.54,0.51,0.41,0.45
2020/11,30,22,0,22,0,22.72,45.45,31.81,5,10,2,2,0.16,0.33,0.06,0.06
2020/12,31,20,2,18,0,55.55,33.33,11.11,10,14,8,8,0.32,0.45,0.25,0.25
2021/01,31,24,1,23,0,34.78,47.82,17.39,8,13,7,6,0.25,0.41,0.22,0.19
2021/02,28,14,0,14,0,64.28,21.42,14.28,9,8,4,5,0.32,0.28,0.14,0.17
2021/03,31,25,0,25,0,36,56,8,9,16,7,8,0.29,0.51,0.22,0.25
