DateYYYYMM;DaysInMonth;TotalPosts;RemainingPosts;AnsweredRate;FlairsWhoAnswered;FlairAnsweredQuestions;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay;Under2TotalPosts;Under2RemainingPosts;Under2AnsweredRate;Under2FlairsWhoAnswered;Under2FlairAnsweredQuestions;Under2AvgFlairsWhoAnsweredPerDay;Under2AvgFlairAnswersPerDay;Over1TotalPosts;Over1RemainingPosts;Over1AnsweredRate;Over1FlairsWhoAnswered;Over1FlairAnsweredQuestions;Over1AvgFlairsWhoAnsweredPerDay;Over1AvgFlairAnswersPerDay;Over10TotalPosts;Over10RemainingPosts;Over10AnsweredRate;Over10FlairsWhoAnswered;Over10FlairAnsweredQuestions;Over10AvgFlairsWhoAnsweredPerDay;Over10AvgFlairAnswersPerDay;Over100TotalPosts;Over100RemainingPosts;Over100AnsweredRate;Over100FlairsWhoAnswered;Over100FlairAnsweredQuestions;Over100AvgFlairsWhoAnsweredPerDay;Over100AvgFlairAnswersPerDay;Over1000TotalPosts;Over1000RemainingPosts;Over1000AnsweredRate;Over1000FlairsWhoAnswered;Over1000FlairAnsweredQuestions;Over1000AvgFlairsWhoAnsweredPerDay;Over1000AvgFlairAnswersPerDay
2017/01;31;5634;3913;42.7;146;834;4.7;26.9;1993;862;23.2;54;102;1.74;3.29;2372;1924;37;105;367;3.38;11.83;989;872;60.55;97;257;3.12;8.29;235;212;88.67;62;79;2;2.54;45;43;100;25;29;0.8;0.93
2017/02;28;4833;3366;39.51;138;668;4.92;23.85;1700;764;25.65;43;88;1.53;3.14;2030;1616;33.1;85;269;3.03;9.6;870;767;52.54;96;201;3.42;7.17;191;180;87.22;71;87;2.53;3.1;42;39;100;17;23;0.6;0.82
2017/03;31;5048;3650;41.01;147;787;4.74;25.38;1723;839;25.14;55;112;1.77;3.61;2138;1753;34.74;106;331;3.41;10.67;952;832;57.69;106;250;3.41;8.06;189;183;84.15;53;67;1.7;2.16;46;43;100;24;27;0.77;0.87
2017/04;30;5413;3856;42.16;165;840;5.5;28;1723;732;24.45;49;99;1.63;3.3;2390;1973;35.78;107;360;3.56;12;1062;934;59.63;120;279;4;9.3;189;173;81.5;65;76;2.16;2.53;49;44;97.72;29;26;0.96;0.86
2017/05;31;5280;3732;42.55;160;824;5.16;26.58;1431;499;25.65;38;61;1.22;1.96;2416;1964;35.13;103;383;3.32;12.35;1203;1057;56.19;112;292;3.61;9.41;182;168;79.76;56;64;1.8;2.06;48;44;95.45;29;24;0.93;0.77
2017/06;30;4694;3425;43.73;146;777;4.86;25.9;1215;481;24.94;33;62;1.1;2.06;2181;1766;36.74;101;350;3.36;11.66;1088;982;56.72;108;272;3.6;9.06;164;150;84;52;63;1.73;2.1;46;46;100;27;30;0.9;1
2017/07;31;5138;3738;47.59;183;1023;5.9;33;1391;560;32.5;57;101;1.83;3.25;2382;1939;39.91;132;456;4.25;14.7;1119;1011;61.52;130;360;4.19;11.61;196;181;85.08;51;78;1.64;2.51;50;47;100;29;28;0.93;0.9
2017/08;31;5491;3826;44.48;176;980;5.67;31.61;1716;660;33.33;53;128;1.7;4.12;2431;1958;35.8;127;423;4.09;13.64;1115;1000;60.9;130;327;4.19;10.54;179;162;77.77;60;70;1.93;2.25;50;46;100;33;32;1.06;1.03
2017/09;30;5046;3577;41.73;171;893;5.7;29.76;1561;628;27.86;53;100;1.76;3.33;2203;1775;32.67;109;377;3.63;12.56;1057;956;57.94;117;310;3.9;10.33;175;169;79.88;62;69;2.06;2.29;50;49;100;37;37;1.23;1.23
2017/10;31;5616;3966;39.66;160;866;5.16;27.93;1800;717;24.82;55;96;1.77;3.09;2355;1931;32.1;108;375;3.48;12.09;1160;1036;52.12;117;285;3.77;9.19;245;226;79.64;46;71;1.48;2.29;56;56;98.21;28;39;0.9;1.25
