DateYYYYMM,DaysInMonth,TotalPosts,RemovedPosts,RemainingQuestions,RemainingSpecial,AnsweredRate,IgnoredRate,EmptyRate,AnsweredQuestions,Flairs,FlairsWhoAnswered,FlairAnsweredQuestions,AvgAnswersPerDay,AvgFlairsPerDay,AvgFlairsWhoAnsweredPerDay,AvgFlairAnswersPerDay
2017/01,31,1993,1131,862,0,23.2,68.32,8.46,200,80,54,102,6.45,2.58,1.74,3.29
2017/02,28,1700,936,764,0,25.65,66.88,7.46,196,73,43,88,7,2.6,1.53,3.14
2017/03,31,1723,884,839,0,25.14,68.05,6.79,211,73,55,112,6.8,2.35,1.77,3.61
2017/04,30,1723,990,732,1,24.45,66.39,9.15,179,73,49,99,5.96,2.43,1.63,3.3
2017/05,31,1431,929,499,3,25.65,64.92,9.41,128,59,38,61,4.12,1.9,1.22,1.96
2017/06,30,1215,732,481,2,24.94,66.11,8.93,120,56,33,62,4,1.86,1.1,2.06
2017/07,31,1391,831,560,0,32.5,58.03,9.46,182,79,57,101,5.87,2.54,1.83,3.25
2017/08,31,1716,1055,660,1,33.33,57.42,9.24,220,79,53,128,7.09,2.54,1.7,4.12
2017/09,30,1561,931,628,2,27.86,62.57,9.55,175,78,53,100,5.83,2.6,1.76,3.33
2017/10,31,1800,1083,717,0,24.82,66.24,8.92,178,75,55,96,5.74,2.41,1.77,3.09
2017/11,30,1769,1032,736,1,24.04,66.57,9.37,177,77,53,107,5.9,2.56,1.76,3.56
2017/12,31,1572,983,589,0,26.14,64.34,9.5,154,68,54,89,4.96,2.19,1.74,2.87
2018/01,31,1467,912,554,1,22.92,65.88,11.19,127,67,41,74,4.09,2.16,1.32,2.38
2018/02,28,1387,868,519,0,21.96,63.39,14.64,114,61,40,60,4.07,2.17,1.42,2.14
2018/03,31,1550,1041,506,3,27.07,59.28,13.63,137,65,37,55,4.41,2.09,1.19,1.77
2018/04,30,1613,1069,540,4,29.44,60.55,10,159,63,38,55,5.3,2.1,1.26,1.83
2018/05,31,1621,975,644,2,27.01,60.4,12.57,174,70,51,100,5.61,2.25,1.64,3.22
2018/06,30,1713,1044,666,3,22.37,64.26,13.36,149,63,44,80,4.96,2.1,1.46,2.66
2018/07,31,1563,1014,544,5,28.49,57.16,14.33,155,67,42,87,5,2.16,1.35,2.8
2018/08,31,1420,936,481,3,27.02,58.21,14.76,130,63,36,55,4.19,2.03,1.16,1.77
2018/09,30,1541,924,615,2,25.36,59.02,15.6,156,73,47,75,5.2,2.43,1.56,2.5
2018/10,31,1595,1084,508,3,22.24,59.05,18.7,113,69,41,55,3.64,2.22,1.32,1.77
