DateYYYYMM;DaysInMonth;TotalPosts;RemovedPosts;RemainingQuestions;RemainingSpecial;AnsweredRate;IgnoredRate;EmptyRate;AnsweredQuestions;Flairs;FlairsWhoAnswered;FlairAnsweredQuestions;AvgAnswersPerDay;AvgFlairsPerDay;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay
2017/01;31;2372;436;1924;12;37;54.41;8.57;712;140;105;367;22.96;4.51;3.38;11.83
2017/02;28;2030;412;1616;2;33.1;57.73;9.15;535;115;85;269;19.1;4.1;3.03;9.6
2017/03;31;2138;379;1753;6;34.74;55.67;9.58;609;127;106;331;19.64;4.09;3.41;10.67
2017/04;30;2390;415;1973;2;35.78;54.23;9.98;706;135;107;360;23.53;4.5;3.56;12
2017/05;31;2416;446;1964;6;35.13;56;8.85;690;127;103;383;22.25;4.09;3.32;12.35
2017/06;30;2181;411;1766;4;36.74;54.69;8.55;649;131;101;350;21.63;4.36;3.36;11.66
2017/07;31;2382;438;1939;4;39.91;50.79;9.28;774;161;132;456;24.96;5.19;4.25;14.7
2017/08;31;2431;469;1958;4;35.8;55.61;8.58;701;163;127;423;22.61;5.25;4.09;13.64
2017/09;30;2203;425;1775;3;32.67;58.3;9.01;580;141;109;377;19.33;4.7;3.63;12.56
2017/10;31;2355;419;1931;5;32.1;60.02;7.87;620;132;108;375;20;4.25;3.48;12.09
2017/11;30;2120;359;1755;6;32.3;57.89;9.8;567;131;106;360;18.89;4.36;3.53;12
2017/12;31;2007;406;1593;8;33.52;55.61;10.86;534;124;100;291;17.22;4;3.22;9.38
2018/01;31;2394;411;1976;7;32.38;56.83;10.77;640;132;104;386;20.64;4.25;3.35;12.45
2018/02;28;2147;391;1751;5;33.98;55.73;10.27;595;125;103;342;21.25;4.46;3.67;12.21
2018/03;31;2437;485;1947;5;32.35;55.11;12.53;630;130;102;349;20.32;4.19;3.29;11.25
2018/04;30;2406;434;1966;6;32.65;56.86;10.47;642;127;95;321;21.4;4.23;3.16;10.7
2018/05;31;2280;418;1853;9;29.46;58.82;11.71;546;123;103;292;17.61;3.96;3.32;9.41
2018/06;30;2205;455;1745;5;31.97;55.01;13;558;129;98;309;18.6;4.3;3.26;10.3
2018/07;31;2304;444;1850;10;30.1;57.89;12;557;129;92;331;17.96;4.16;2.96;10.67
2018/08;31;2244;402;1835;7;28.99;57.11;13.89;532;123;82;257;17.16;3.96;2.64;8.29
2018/09;30;2018;376;1637;5;29.5;55.83;14.66;483;111;84;235;16.1;3.7;2.8;7.83
2018/10;31;2398;459;1934;5;26.21;58.11;15.66;507;125;91;237;16.35;4.03;2.93;7.64
2018/11;30;2413;476;1928;9;22.92;57.98;19.08;442;113;84;199;14.73;3.76;2.8;6.63
2018/12;31;2303;530;1768;5;24.88;56.95;18.15;440;117;85;210;14.19;3.77;2.74;6.77
2019/01;31;2336;546;1782;8;25.47;54.32;20.2;454;110;79;254;14.64;3.54;2.54;8.19
2019/02;28;2283;437;1842;4;23.01;58.14;18.83;424;113;83;221;15.14;4.03;2.96;7.89
2019/03;31;2314;521;1785;8;26.27;55.4;18.31;469;106;73;228;15.12;3.41;2.35;7.35
2019/04;30;2381;527;1848;6;24.29;58.44;17.26;449;121;92;244;14.96;4.03;3.06;8.13
2019/05;31;2062;446;1611;5;26.44;53.19;20.36;426;113;84;213;13.74;3.64;2.7;6.87
2019/06;30;2059;438;1614;7;25.09;59.04;15.86;405;111;77;203;13.5;3.7;2.56;6.76
2019/07;31;2281;420;1857;4;28.97;55.25;15.77;538;106;78;256;17.35;3.41;2.51;8.25
2019/08;31;2162;436;1715;11;31.13;54.34;14.57;534;142;104;319;17.22;4.58;3.35;10.29
2019/09;30;1943;336;1602;5;31.52;52.49;16.04;505;109;86;312;16.83;3.63;2.86;10.4
2019/10;31;2024;364;1654;6;30.95;54.95;14.08;512;116;87;265;16.51;3.74;2.8;8.54
2019/11;30;2081;401;1675;5;32.47;52.71;14.8;544;132;100;303;18.13;4.4;3.33;10.1
2019/12;31;2104;436;1665;3;31.47;53.03;15.49;524;141;107;279;16.9;4.54;3.45;9
2020/01;31;2240;388;1844;8;29.22;55.26;15.5;539;137;103;306;17.38;4.41;3.32;9.87
2020/02;29;2183;438;1739;6;29.21;54.34;16.44;508;137;104;300;17.51;4.72;3.58;10.34
2020/03;31;2657;560;2089;8;27.04;58.3;14.64;565;146;112;317;18.22;4.7;3.61;10.22
2020/04;30;2996;600;2391;5;27.93;56.83;15.22;668;150;113;372;22.26;5;3.76;12.4
2020/05;31;3399;652;2742;5;27.49;57.87;14.62;754;169;126;442;24.32;5.45;4.06;14.25
2020/06;30;3211;662;2543;6;27.68;55.09;17.22;704;154;111;386;23.46;5.13;3.7;12.86
2020/07;31;3024;594;2427;3;29.54;53.02;17.42;717;170;130;458;23.12;5.48;4.19;14.77
2020/08;31;2923;532;2386;5;27.4;58.29;14.29;654;161;126;393;21.09;5.19;4.06;12.67
2020/09;30;2241;420;1818;3;27.66;58.03;14.3;503;140;98;286;16.76;4.66;3.26;9.53
2020/10;31;2397;457;1933;7;26.28;57.78;15.93;508;141;105;336;16.38;4.54;3.38;10.83
2020/11;30;2324;505;1813;6;26.69;59.07;14.23;484;149;112;335;16.13;4.96;3.73;11.16
2020/12;31;2345;472;1868;5;28.58;57.76;13.65;534;142;110;315;17.22;4.58;3.54;10.16
2021/01;31;2496;495;1995;6;28.72;56.94;14.33;573;126;93;351;18.48;4.06;3;11.32
