DateYYYYMM;DaysInMonth;TotalPosts;RemovedPosts;RemainingQuestions;RemainingSpecial;AnsweredRate;IgnoredRate;EmptyRate;AnsweredQuestions;Flairs;FlairsWhoAnswered;FlairAnsweredQuestions;AvgAnswersPerDay;AvgFlairsPerDay;AvgFlairsWhoAnsweredPerDay;AvgFlairAnswersPerDay
2017/01;31;840;67;746;27;74.39;12.6;13;555;152;111;253;17.9;4.9;3.58;8.16
2017/02;28;700;43;636;21;70.28;14.77;14.93;447;165;112;237;15.96;5.89;4;8.46
2017/03;31;768;53;691;24;72.21;14.32;13.45;499;156;114;246;16.09;5.03;3.67;7.93
2017/04;30;801;55;711;35;71.44;10.54;18;508;187;130;260;16.93;6.23;4.33;8.66
2017/05;31;839;57;753;29;68.26;14.6;17.13;514;163;125;245;16.58;5.25;4.03;7.9
2017/06;30;740;45;672;23;71.57;13.69;14.73;481;167;113;239;16.03;5.56;3.76;7.96
2017/07;31;788;38;726;23;74.1;13.36;12.53;538;166;124;290;17.35;5.35;4;9.35
2017/08;31;833;50;754;29;70.29;14.85;14.85;530;182;135;294;17.09;5.87;4.35;9.48
2017/09;30;785;38;727;20;70.15;13.2;16.64;510;171;133;275;17;5.7;4.43;9.16
2017/10;31;906;48;830;28;67.71;14.57;17.71;562;171;114;278;18.12;5.51;3.67;8.96
2017/11;30;752;44;689;19;63.13;19.15;17.7;435;150;108;247;14.5;5;3.6;8.23
2017/12;31;818;43;749;26;63.81;15.22;20.96;478;188;118;246;15.41;6.06;3.8;7.93
2018/01;31;793;44;728;21;63.59;16.62;19.78;463;168;116;271;14.93;5.41;3.74;8.74
2018/02;28;762;29;713;20;70.68;12.62;16.69;504;157;118;277;18;5.6;4.21;9.89
2018/03;31;876;30;831;15;64.01;14.92;21.05;532;148;114;261;17.16;4.77;3.67;8.41
2018/04;30;878;46;818;14;63.32;15.15;21.51;518;153;116;273;17.26;5.09;3.86;9.1
2018/05;31;885;31;836;18;61.24;17.1;21.65;512;161;117;236;16.51;5.19;3.77;7.61
2018/06;30;784;28;732;24;56.83;17.34;25.81;416;159;112;210;13.86;5.3;3.73;7
2018/07;31;870;37;815;18;61.34;16.07;22.57;500;159;113;245;16.12;5.12;3.64;7.9
2018/08;31;855;46;787;22;65.05;14.48;20.45;512;170;112;255;16.51;5.48;3.61;8.22
2018/09;30;896;33;841;22;61.11;17.83;21.04;514;165;102;238;17.13;5.5;3.4;7.93
2018/10;31;818;21;782;15;61.63;14.83;23.52;482;150;101;197;15.54;4.83;3.25;6.35
2018/11;30;781;29;738;14;54.74;15.17;30.08;404;137;102;200;13.46;4.56;3.4;6.66
2018/12;31;916;38;853;25;57.32;17.46;25.2;489;155;106;233;15.77;5;3.41;7.51
2019/01;31;897;57;824;16;57.4;17.59;25;473;160;102;231;15.25;5.16;3.29;7.45
2019/02;28;686;29;643;14;56.76;14.77;28.46;365;143;95;175;13.03;5.1;3.39;6.25
2019/03;31;739;33;686;20;57.28;15.45;27.25;393;141;96;208;12.67;4.54;3.09;6.7
2019/04;30;642;34;594;14;57.4;18.18;24.41;341;130;83;158;11.36;4.33;2.76;5.26
2019/05;31;643;36;589;18;53.82;15.11;31.06;317;147;89;152;10.22;4.74;2.87;4.9
2019/06;30;604;36;552;16;56.15;18.29;25.54;310;136;81;151;10.33;4.53;2.7;5.03
2019/07;31;676;23;636;17;57.07;16.5;26.41;363;145;98;198;11.7;4.67;3.16;6.38
2019/08;31;563;19;526;18;54.56;15.39;30.03;287;138;99;171;9.25;4.45;3.19;5.51
2019/09;30;535;20;499;16;61.92;14.42;23.64;309;134;93;177;10.3;4.46;3.1;5.9
2019/10;31;524;18;485;21;59.79;14.43;25.77;290;147;83;139;9.35;4.74;2.67;4.48
2019/11;30;553;29;507;17;61.93;16.56;21.49;314;154;105;184;10.46;5.13;3.5;6.13
2019/12;31;588;20;547;21;58.31;16.81;24.86;319;154;93;180;10.29;4.96;3;5.8
2020/01;31;616;16;584;16;57.53;17.8;24.65;336;152;109;186;10.83;4.9;3.51;6
2020/02;29;555;30;510;15;61.56;15.29;23.13;314;145;91;173;10.82;5;3.13;5.96
2020/03;31;573;26;525;22;57.52;16.95;25.52;302;150;95;186;9.74;4.83;3.06;6
2020/04;30;641;20;528;93;60.79;14.01;25.18;321;256;108;180;10.7;8.53;3.6;6
2020/05;31;669;29;620;20;62.58;15.48;21.93;388;166;109;211;12.51;5.35;3.51;6.8
2020/06;30;437;17;402;18;55.47;15.42;29.1;223;119;76;115;7.43;3.96;2.53;3.83
2020/07;31;488;31;445;12;52.8;19.32;27.86;235;109;74;133;7.58;3.51;2.38;4.29
2020/08;31;462;14;431;17;51.74;21.34;26.91;223;114;77;129;7.19;3.67;2.48;4.16
2020/09;30;403;24;365;14;49.31;22.19;28.49;180;111;64;93;6;3.7;2.13;3.1
2020/10;31;396;15;368;13;46.73;22.28;30.97;172;106;64;99;5.54;3.41;2.06;3.19
2020/11;30;372;26;335;11;48.95;25.07;25.97;164;107;59;100;5.46;3.56;1.96;3.33
2020/12;31;451;26;411;14;49.87;22.14;27.98;205;123;79;114;6.61;3.96;2.54;3.67
2021/01;31;119;2;113;4;48.67;26.54;24.77;55;53;26;29;1.77;1.7;0.83;0.93
