DateYYYYMM,DaysInMonth,TotalPosts,RemovedPosts,RemainingQuestions,RemainingSpecial,AnsweredRate,IgnoredRate,EmptyRate,AnsweredQuestions,Flairs,FlairsWhoAnswered,FlairAnsweredQuestions,AvgAnswersPerDay,AvgFlairsPerDay,AvgFlairsWhoAnsweredPerDay,AvgFlairAnswersPerDay
2017/01,31,989,91,872,26,60.55,24.88,14.56,528,133,97,257,17.03,4.29,3.12,8.29
2017/02,28,870,71,767,32,52.54,30.63,16.81,403,137,96,201,14.39,4.89,3.42,7.17
2017/03,31,952,91,832,29,57.69,26.44,15.86,480,135,106,250,15.48,4.35,3.41,8.06
2017/04,30,1062,90,934,38,59.63,23.12,17.23,557,167,120,279,18.56,5.56,4,9.3
2017/05,31,1203,108,1057,38,56.19,27.34,16.46,594,139,112,292,19.16,4.48,3.61,9.41
2017/06,30,1088,78,982,28,56.72,29.63,13.64,557,145,108,272,18.56,4.83,3.6,9.06
2017/07,31,1119,79,1011,29,61.52,26.7,11.77,622,169,130,360,20.06,5.45,4.19,11.61
2017/08,31,1115,85,1000,30,60.9,26.2,12.9,609,168,130,327,19.64,5.41,4.19,10.54
2017/09,30,1057,71,956,30,57.94,26.56,15.48,554,158,117,310,18.46,5.26,3.9,10.33
2017/10,31,1160,94,1036,30,52.12,30.59,17.27,540,160,117,285,17.41,5.16,3.77,9.19
2017/11,30,972,72,873,27,53.6,30.01,16.38,468,139,105,261,15.6,4.63,3.5,8.69
2017/12,31,1008,66,918,24,51.19,28.1,20.69,470,150,112,256,15.16,4.83,3.61,8.25
2018/01,31,1083,67,990,26,50.8,30.8,18.38,503,162,123,285,16.22,5.22,3.96,9.19
2018/02,28,1055,69,957,29,52.66,29.46,17.86,504,142,101,281,18,5.07,3.6,10.03
2018/03,31,1200,69,1106,25,51.53,29.38,19.07,570,135,100,281,18.38,4.35,3.22,9.06
2018/04,30,1195,77,1096,22,51.36,30.83,17.79,563,148,113,293,18.76,4.93,3.76,9.76
2018/05,31,1154,54,1076,24,48.04,30.76,21.18,517,138,104,242,16.67,4.45,3.35,7.8
2018/06,30,1062,62,971,29,45.1,30.69,24.2,438,138,99,231,14.6,4.59,3.3,7.7
2018/07,31,1179,66,1091,22,50.59,29.6,19.79,552,144,104,283,17.8,4.64,3.35,9.12
2018/08,31,1138,61,1050,27,52.47,28.47,19.04,551,150,104,279,17.77,4.83,3.35,9
2018/09,30,1155,67,1063,25,45.9,32.83,21.26,488,152,105,235,16.26,5.06,3.5,7.83
2018/10,31,1182,55,1103,24,47.59,30,22.39,525,136,90,207,16.93,4.38,2.9,6.67
2018/11,30,1085,63,1000,22,39.1,31.4,29.5,391,119,89,189,13.03,3.96,2.96,6.3
2018/12,31,1279,83,1169,27,43.37,31.13,25.49,507,129,85,237,16.35,4.16,2.74,7.64
2019/01,31,1282,101,1155,26,44.58,30.21,25.19,515,138,100,277,16.61,4.45,3.22,8.93
2019/02,28,950,49,879,22,42.54,30.03,27.41,374,124,89,188,13.35,4.42,3.17,6.71
2019/03,31,1077,69,981,27,43.52,31.39,25.07,427,142,89,227,13.77,4.58,2.87,7.32
2019/04,30,889,54,816,19,40.19,34.92,24.87,328,116,86,156,10.93,3.86,2.86,5.2
2019/05,31,883,45,809,29,43.13,29.04,27.81,349,126,88,178,11.25,4.06,2.83,5.74
2019/06,30,848,58,764,26,44.89,31.41,23.69,343,119,70,161,11.43,3.96,2.33,5.36
2019/07,31,945,51,872,22,42.88,31.42,25.68,374,124,88,202,12.06,4,2.83,6.51
2019/08,31,813,38,753,22,43.29,30.01,26.69,326,119,90,191,10.51,3.83,2.9,6.16
2019/09,30,729,34,674,21,49.1,28.93,21.95,331,133,97,209,11.03,4.43,3.23,6.96
2019/10,31,738,34,682,22,47.8,28.88,23.31,326,116,81,160,10.51,3.74,2.61,5.16
2019/11,30,776,46,708,22,46.04,31.49,22.45,326,141,105,182,10.86,4.7,3.5,6.06
2019/12,31,864,49,793,22,44.76,30.89,24.33,355,141,83,186,11.45,4.54,2.67,6
2020/01,31,888,40,825,23,46.78,32.48,20.72,386,136,94,203,12.45,4.38,3.03,6.54
2020/02,29,796,52,721,23,49.51,27.73,22.74,357,146,99,200,12.31,5.03,3.41,6.89
2020/03,31,853,60,767,26,44.85,34.41,20.73,344,135,97,200,11.09,4.35,3.12,6.45
2020/04,30,857,44,739,74,49.25,26.25,24.49,364,204,87,202,12.13,6.8,2.9,6.73
2020/05,31,970,54,886,30,51.46,28.21,20.31,456,152,102,249,14.7,4.9,3.29,8.03
2020/06,30,936,52,853,31,49,27.78,23.21,418,151,111,229,13.93,5.03,3.7,7.63
2020/07,31,921,59,834,28,50.11,24.94,24.94,418,137,96,229,13.48,4.41,3.09,7.38
2020/08,31,973,40,905,28,48.72,28.83,22.43,441,146,99,235,14.22,4.7,3.19,7.58
2020/09,30,813,54,735,24,46.25,29.38,24.35,340,142,92,183,11.33,4.73,3.06,6.1
2020/10,31,829,42,763,24,42.85,31.06,26.08,327,138,90,190,10.54,4.45,2.9,6.12
2020/11,30,821,64,738,19,44.17,33.33,22.49,326,137,89,200,10.86,4.56,2.96,6.66
2020/12,31,924,57,843,24,45.67,30.96,23.36,385,155,113,218,12.41,5,3.64,7.03
2021/01,31,941,57,862,22,46.17,33.17,20.64,398,142,102,241,12.83,4.58,3.29,7.77
2021/02,28,754,44,690,19,47.53,30.72,21.73,328,128,83,186,11.71,4.57,2.96,6.64
2021/03,31,1029,47,962,20,44.17,32.22,23.59,425,149,106,267,13.7,4.8,3.41,8.61
2021/04,30,1008,46,938,24,45.94,32.4,21.64,431,142,99,251,14.36,4.73,3.3,8.36
